bin_id,sensor_id,reading_id,timestamp,fill_level_percent,bin_type,location_latitude,location_longitude,address_street,address_city,address_state,address_postal_code,address_country,battery_level_percent,bin_status,overflow_alert,alert_flag,alert_type,truck_available,route_efficiency,travel_time,urban_density_factor,waste_generation_index,bin_capacity_kg,bin_fill_percent,weight_kg,day_of_week,month,is_weekend,gas_level,temperature,rainfall,lag_1,lag_2,rolling_mean_7,next_day_waste_kg,peak_flag,date,hour,day_name,week_number,department,waste_source,shift,production_volume_index,estimated_pickup_cost,pickup_required,manager_approval_required,manager_approval_status,overflow_risk,vehicle_assignment_status,cost_saving_if_skipped,derived_peak_day
BIN-207,SNSR-8041,READ-30007,2024-06-01 12:05:00+00:00,47.7,recycling,1.3521,103.8198,Orchard Rd,Singapore,SG,238897,Singapore,82.9,active,FALSE,0,,0,0.908508139,40.4782167,0.825399698,0.979358811,50,38.18202537,19.09101268,5,6,1,142.4808498,25,1,18.38772004,17.34173922,14.60939945,22.62262919,0,01-06-2024,12,Saturday,22,Production,Packaging and Production,Morning,1.13,99.59,0,0,Not Needed,Low,No Dispatch Needed,99.59,0
BIN-208,SNSR-8045,READ-30008,2024-06-01 13:19:00+00:00,85.1,organic,41.9028,12.4964,Via del Corso,Rome,RM,186,Italy,49.3,active,FALSE,0,,1,0.629617861,35.13395116,1.246491405,1.025586781,50,45.24525839,22.62262919,5,6,1,184.532951,25,5,19.09101268,18.38772004,16.86821927,25.22653174,0,01-06-2024,13,Saturday,22,Cafeteria,Food Waste Area,Morning,1.18,94.91,1,0,Not Needed,Medium,Vehicle Ready,0,0
BIN-209,SNSR-8051,READ-30009,2024-06-01 14:45:00+00:00,0,other,34.0522,-118.2437,Sunset Blvd,Los Angeles,CA,90028,USA,8.2,out_of_service,FALSE,0,,1,0.743386291,12.57393756,1.149632899,0.871924751,50,50.45306347,25.22653174,5,6,1,189.9373334,25,10,22.62262919,19.09101268,18.95223945,28.20478576,0,01-06-2024,14,Saturday,22,Storage,Warehouse Utility Area,Evening,0.87,57.95,0,0,Not Needed,Low,No Dispatch Needed,57.95,0
BIN-210,SNSR-8054,READ-30010,2024-06-01 15:03:00+00:00,75.3,hazardous,52.3676,4.9041,Damrak,Amsterdam,NH,1012,Netherlands,38.7,active,FALSE,0,,1,0.646347624,23.93232321,1.34922341,1.054499956,50,56.40957152,28.20478576,5,6,1,205.9456481,25,15,25.22653174,22.62262919,21.02429895,28.77683149,0,01-06-2024,15,Saturday,22,Quality Lab,Chemical Handling Area,Evening,1.05,117.56,0,1,Pending,Medium,No Dispatch Needed,117.56,0
BIN-211,SNSR-8057,READ-30011,2024-06-01 16:22:00+00:00,36.6,general,40.7128,-74.006,Broadway,New York,NY,10007,USA,57.1,active,FALSE,0,,0,0.94524137,55.4132943,1.157612892,0.71830015,50,57.55366298,28.77683149,5,6,1,222.0987197,25,15,28.20478576,25.22653174,22.80732145,32.67151597,0,01-06-2024,16,Saturday,22,Administration,Office Block,Evening,0.72,140.03,0,1,Pending,Low,No Dispatch Needed,140.03,0
BIN-212,SNSR-8062,READ-30012,2024-06-01 17:44:00+00:00,10.5,organic,43.6532,-79.3832,Queen St W,Toronto,ON,M5H 2N2,Canada,16.9,maintenance,FALSE,1,Overflow Warning,1,0.849319251,21.97809453,1.068308603,0.722408913,50,65.34303194,32.67151597,5,6,1,228.8434323,25,0,28.77683149,28.20478576,24.99728955,36.08506521,0,01-06-2024,17,Saturday,22,Cafeteria,Food Waste Area,Evening,0.72,85.3,0,0,Not Needed,Low,No Dispatch Needed,85.3,0
BIN-213,SNSR-8068,READ-30013,2024-06-01 18:05:00+00:00,99.9,recycling,51.5074,-0.1278,Oxford St,London,ENG,W1D 1BS,UK,12.8,out_of_service,TRUE,0,,1,0.73235921,17.2447436,0.593674768,1.193560336,50,72.17013043,36.08506521,5,6,1,263.1887546,25,8,32.67151597,28.77683149,27.52548172,37.3282521,0,01-06-2024,18,Saturday,22,Production,Packaging and Production,Evening,1.19,81.56,1,0,Not Needed,High,Vehicle Ready,0,0
BIN-214,SNSR-8073,READ-30014,2024-06-01 19:23:00+00:00,53.2,hazardous,-22.9068,-43.1729,Avenida Atlântica,Rio de Janeiro,RJ,22010-000,Brazil,44.9,active,FALSE,0,,1,0.62542334,34.47263801,0.867715803,0.916114385,50,74.6565042,37.3282521,5,6,1,266.3420037,25,5,36.08506521,32.67151597,30.13080164,38.46463949,0,01-06-2024,19,Saturday,22,Quality Lab,Chemical Handling Area,Evening,0.92,149.31,0,1,Pending,Low,No Dispatch Needed,149.31,0
BIN-215,SNSR-8078,READ-30015,2024-06-01 20:49:00+00:00,81,organic,59.3293,18.0686,Drottninggatan,Stockholm,ST,111 51,Sweden,51.3,active,FALSE,0,,1,0.724392929,59.28252271,0.765202368,0.776236308,50,76.92927897,38.46463949,5,6,1,262.4851979,25,15,37.3282521,36.08506521,32.39394596,39.60655527,0,01-06-2024,20,Saturday,22,Cafeteria,Food Waste Area,Evening,0.78,160.56,1,1,Pending,Medium,Vehicle Ready,0,0
BIN-216,SNSR-8083,READ-30016,2024-06-01 21:10:00+00:00,17.7,other,37.7749,-122.4194,Market St,San Francisco,CA,94103,USA,12.1,maintenance,FALSE,0,,1,0.730073329,22.10276358,0.743989643,1.013345956,50,79.21311054,39.60655527,5,6,1,277.0329017,25,2,38.46463949,37.3282521,34.44823504,41.17140312,0,01-06-2024,21,Saturday,22,Storage,Warehouse Utility Area,Evening,1.01,95.23,0,0,Not Needed,Low,No Dispatch Needed,95.23,0
BIN-217,SNSR-8088,READ-30017,2024-06-01 22:36:00+00:00,90.3,general,28.7041,77.1025,Connaught Place,Delhi,DL,110001,India,18.9,maintenance,TRUE,0,,1,0.891842471,43.60677737,1.473010555,1.161996132,50,82.34280624,41.17140312,5,6,1,294.812127,25,19,39.60655527,38.46463949,36.30060895,43.50805063,1,01-06-2024,22,Saturday,22,Administration,Office Block,Night,0.93,136.13,1,1,Pending,High,Vehicle Ready,0,0
